Name,No.,year,sex
Christine,779,1954,Female
Susan,735,1954,Female
Margaret,562,1954,Female
Judith,531,1954,Female
Jennifer,460,1954,Female
Mary,423,1954,Female
Elizabeth,419,1954,Female
Patricia,408,1954,Female
Linda,394,1954,Female
Barbara,382,1954,Female
Lynette,357,1954,Female
Robyn,340,1954,Female
Anne,329,1954,Female
Karen,328,1954,Female
Helen,325,1954,Female
Diane,290,1954,Female
Sandra,281,1954,Female
Wendy,280,1954,Female
Janet,275,1954,Female
Heather,272,1954,Female
Pamela,259,1954,Female
Carol,247,1954,Female
Janice,239,1954,Female
Julie,230,1954,Female
Suzanne,228,1954,Female
Lorraine,224,1954,Female
Dianne,218,1954,Female
Marilyn,213,1954,Female
Rosemary,207,1954,Female
Raewyn,207,1954,Female
Kathleen,200,1954,Female
Pauline,199,1954,Female
Alison,192,1954,Female
Gail,183,1954,Female
Denise,174,1954,Female
Sharon,172,1954,Female
Lesley,171,1954,Female
Yvonne,170,1954,Female
Catherine,166,1954,Female
Shirley,160,1954,Female
Beverley,154,1954,Female
Maureen,153,1954,Female
Deborah,153,1954,Female
Jillian,152,1954,Female
Ann,152,1954,Female
Annette,149,1954,Female
Colleen,147,1954,Female
Jane,145,1954,Female
Marie,144,1954,Female
Sheryl,134,1954,Female
Carolyn,129,1954,Female
Frances,123,1954,Female
Kathryn,122,1954,Female
Kay,116,1954,Female
Jacqueline,112,1954,Female
Cheryl,108,1954,Female
Ruth,105,1954,Female
Glenda,105,1954,Female
Maria,101,1954,Female
Sally,97,1954,Female
Lynda,97,1954,Female
Lynne,92,1954,Female
Marion,91,1954,Female
Gillian,91,1954,Female
Glenys,91,1954,Female
Jan,90,1954,Female
Jeanette,89,1954,Female
Elaine,89,1954,Female
Irene,88,1954,Female
Jocelyn,88,1954,Female
Donna,85,1954,Female
Brenda,84,1954,Female
Vicki,83,1954,Female
Josephine,83,1954,Female
Jill,83,1954,Female
Angela,78,1954,Female
Vivienne,77,1954,Female
Valerie,77,1954,Female
Shona,76,1954,Female
Joanne,76,1954,Female
Joy,76,1954,Female
Lois,74,1954,Female
Stephanie,72,1954,Female
Joan,71,1954,Female
Dorothy,71,1954,Female
Paula,70,1954,Female
Diana,68,1954,Female
Gloria,67,1954,Female
Adrienne,66,1954,Female
Bronwyn,62,1954,Female
Marian,60,1954,Female
Lynnette,58,1954,Female
Louise,57,1954,Female
Virginia,54,1954,Female
Penelope,54,1954,Female
Lynn,53,1954,Female
Christina,53,1954,Female
Claire,53,1954,Female
Leonie,52,1954,Female
Ngaire,51,1954,Female
Susan,743,1955,Female
Christine,689,1955,Female
Margaret,559,1955,Female
Judith,459,1955,Female
Jennifer,448,1955,Female
Karen,432,1955,Female
Patricia,421,1955,Female
Mary,398,1955,Female
Linda,386,1955,Female
Barbara,375,1955,Female
Elizabeth,363,1955,Female
Robyn,356,1955,Female
Wendy,346,1955,Female
Helen,330,1955,Female
Heather,329,1955,Female
Lynette,317,1955,Female
Anne,309,1955,Female
Sandra,299,1955,Female
Diane,289,1955,Female
Carol,258,1955,Female
Pamela,247,1955,Female
Janice,240,1955,Female
Janet,239,1955,Female
Suzanne,237,1955,Female
Raewyn,225,1955,Female
Sharon,222,1955,Female
Dianne,220,1955,Female
Julie,214,1955,Female
Rosemary,198,1955,Female
Deborah,190,1955,Female
Pauline,185,1955,Female
Alison,184,1955,Female
Kathleen,183,1955,Female
Denise,181,1955,Female
Lorraine,178,1955,Female
Catherine,178,1955,Female
Yvonne,165,1955,Female
Marie,156,1955,Female
Ann,156,1955,Female
Beverley,155,1955,Female
Lesley,154,1955,Female
Shirley,152,1955,Female
Colleen,152,1955,Female
Annette,149,1955,Female
Marilyn,144,1955,Female
Maureen,133,1955,Female
Glenda,130,1955,Female
Jane,127,1955,Female
Jillian,125,1955,Female
Sheryl,124,1955,Female
Gail,124,1955,Female
Lynda,123,1955,Female
Brenda,123,1955,Female
Jacqueline,120,1955,Female
Kay,117,1955,Female
Carolyn,117,1955,Female
Marion,116,1955,Female
Maria,111,1955,Female
Cheryl,110,1955,Female
Donna,109,1955,Female
Kathryn,108,1955,Female
Vicki,104,1955,Female
Jeanette,101,1955,Female
Jan,100,1955,Female
Gillian,99,1955,Female
Sally,96,1955,Female
Ruth,95,1955,Female
Lynne,93,1955,Female
Jocelyn,93,1955,Female
Jill,92,1955,Female
Joanne,91,1955,Female
Maree,89,1955,Female
Frances,89,1955,Female
Valerie,87,1955,Female
Elaine,83,1955,Female
Dorothy,82,1955,Female
Glenys,81,1955,Female
Shona,79,1955,Female
Adrienne,79,1955,Female
Irene,78,1955,Female
Joy,78,1955,Female
Angela,78,1955,Female
Lois,73,1955,Female
Paula,73,1955,Female
Vivienne,72,1955,Female
Bronwyn,72,1955,Female
Fiona,71,1955,Female
Louise,70,1955,Female
Stephanie,69,1955,Female
Debra,67,1955,Female
Christina,66,1955,Female
Ngaire,65,1955,Female
Jean,64,1955,Female
Diana,64,1955,Female
Claire,63,1955,Female
Lynnette,62,1955,Female
Joan,62,1955,Female
Penelope,61,1955,Female
Gloria,60,1955,Female
Katherine,59,1955,Female
Susan,851,1956,Female
Christine,754,1956,Female
Karen,615,1956,Female
Judith,478,1956,Female
Margaret,467,1956,Female
Jennifer,431,1956,Female
Elizabeth,394,1956,Female
Robyn,387,1956,Female
Patricia,380,1956,Female
Linda,369,1956,Female
Mary,359,1956,Female
Barbara,335,1956,Female
Helen,327,1956,Female
Wendy,326,1956,Female
